Cincinnati,Cincinnati/Northern Kentucky International Airport,CVG,39.0532746,-84.6630165
Ciudad del Carmen,Ciudad del Carmen International Airport,CME,18.6510592,-91.802435
Ciudad del Este,Guaraní International Airport,AGT,-25.4555,-54.843592
Cleveland,Cleveland Hopkins International Airport,CLE,41.4057985,-81.8538669
Cluj-Napoca,Cluj-Napoca International Airport,CLJ,46.7825068,23.6880245
Cochin,Cochin International Airport,COK,10.1517834,76.392958
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,CCK,-12.1909606,96.83309
Coimbatore,Coimbatore International Airport,CJB,11.0304324,77.0390928
Cologne,Cologne/Bonn Airport,CGN,50.8707168,7.1407344
Colombo,Bandaranaike International Airport,CMB,7.1801552,79.8842521
Columbus,John Glenn Columbus International Airport,CMH,39.9999399,-82.8871767
Columbus,Rickenbacker International Airport,LCK,39.8141114,-82.929967
Conakry,Conakry International Airport,CKY,9.5758691,-13.6145672
Concepción,Carriel Sur International Airport,CCP,-36.7772493,-73.0599903
Constantine,Mohamed Boudiaf Airport,CZL,36.2834707,6.622142
Constanța,Mihail Kogălniceanu International Airport,CND,44.3501279,28.4818157
Cook Islands,Rarotonga Airport,RAR,-21.2024306,-159.8068774
Copenhagen,Copenhagen Airport,CPH,55.6180236,12.6507628
Corfu,Ioannis Kapodistrias Airport,CFU,39.6083865,19.9128115
Cork (city),Cork Airport,ORK,51.8490591,-8.4898845
Corn Island,Corn Island Airport,RNI,12.1721428,-83.0595427
Cotonou,Cadjehoun Airport,COO,6.354854,2.3827198
County Kerry,Kerry Airport,KIR,52.181386,-9.5372189
Cozumel,Cozumel International Airport,CZM,20.5148749,-86.9272237
Cuenca,Mariscal Lamar International Airport,CUE,-2.889444,-78.984444
Cuiabá,Marechal Rondon International Airport,CGB,-15.6530786,-56.1172687
Culiacán,Federal de Bachigualato International Airport,CUL,24.763023,-107.476688
Cuneo,Cuneo Levaldigi Airport,CUF,44.548312,7.623853
Curitiba,Afonso Pena International Airport,CWB,-25.5327132,-49.1724811
Cusco,Alejandro Velasco Astete International Airport,CUZ,-13.5376364,-71.9436143
Córdoba,Ingeniero Ambrosio L.V. Taravella International Airport,COR,-31.3154367,-64.2123198
Cúcuta,Camilo Daza International Airport,CUC,7.9271798,-72.5081768
Da Nang,Da Nang International Airport,DAD,16.0563348,108.2025533
Daegu,Daegu Airport,TAE,35.8994871,128.6383866
Dakar,Léopold Sédar Senghor International Airport,DKR,14.7442078,-17.4914579
Dakhla,Dakhla Airport,VIL,23.7137404,-15.9282536
Dalaman,Dalaman Airport,DLM,36.7181305,28.7933172
Dalian,Dalian Zhoushuizi International Airport,DLC,38.9655556,121.5383333
Dallas,Dallas/Fort Worth International Airport,DFW,32.8998091,-97.0403352
Damascus,Damascus International Airport,DAM,33.4112976,36.5128312
Dammam,King Fahd International Airport,DMM,26.4683247,49.7972482
Dandong,Dandong Langtou Airport,DDG,40.02575,124.2869167
Dar es Salaam,Julius Nyerere International Airport,DAR,-6.8725389,39.2069164
Darwin,Darwin International Airport,DRW,-12.4112158,130.877545
Davao City,Francisco Bangoy International Airport,DVO,7.1303577,125.64544
David,Enrique Malek International Airport,DAV,8.3916525,-82.4314777
Dayton,Dayton International Airport,DAY,39.9025242,-84.2217719
Debrecen,Debrecen International Airport,DEB,47.4897469,21.61219
Delhi,Indira Gandhi International Airport,DEL,28.5561624,77.0999578
Denpasar,Ngurah Rai International Airport,DPS,-8.7467172,115.166787
Denver,Denver International Airport,DEN,39.8560963,-104.6737376
Dera Ghazi Khan,Dera Ghazi Khan International Airport,DEA,29.9603154,70.4895985
Dera Ismail Khan,Dera Ismail Khan Airport,DSK,31.9110703,70.8878023
Derry,City of Derry Airport,LDY,55.0395406,-7.1558024
Des Moines (IA),Des Moines International Airport,DSM,41.5341333,-93.6587958
